GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US64129,64129,ZCTA5 64129,9192,927,3959,554,3907,600,21,27,136,151,0,15,877,494,292,145,61,73,231,126
8600000US64130,64130,ZCTA5 64130,20463,966,1398,391,17547,851,169,104,108,146,0,20,262,179,979,423,326,283,653,342
8600000US64131,64131,ZCTA5 64131,22182,1325,11135,993,9297,927,237,222,408,226,0,20,580,318,525,216,35,36,490,213
8600000US64132,64132,ZCTA5 64132,13989,760,1971,363,11443,725,7,12,89,75,0,17,162,171,317,153,20,26,297,144
8600000US64133,64133,ZCTA5 64133,34981,1072,22609,1122,10223,862,96,75,200,126,140,193,865,457,848,315,142,127,706,258
8600000US64134,64134,ZCTA5 64134,22692,1063,6282,528,14146,896,228,162,291,155,19,27,662,320,1064,386,160,151,904,362
8600000US64136,64136,ZCTA5 64136,2104,439,1742,412,362,225,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64137,64137,ZCTA5 64137,12387,891,6879,684,3782,760,36,45,444,319,80,114,796,545,370,196,0,17,370,196
8600000US64138,64138,ZCTA5 64138,25084,1001,11698,714,11509,915,49,55,432,220,60,95,414,309,922,316,74,67,848,308
8600000US64139,64139,ZCTA5 64139,1793,377,1483,374,247,145,0,11,14,22,0,11,8,13,41,35,0,11,41,35
8600000US64145,64145,ZCTA5 64145,5139,387,4213,356,728,297,8,13,73,72,0,11,18,19,99,73,6,15,93,72
8600000US64146,64146,ZCTA5 64146,1511,312,1337,303,95,97,0,11,0,11,0,11,51,81,28,32,0,11,28,32
8600000US64147,64147,ZCTA5 64147,773,338,165,82,565,360,10,18,11,12,0,11,5,10,17,18,8,15,9,10
8600000US64149,64149,ZCTA5 64149,347,178,343,180,0,11,0,11,4,8,0,11,0,11,0,11,0,11,0,11
8600000US64150,64150,ZCTA5 64150,3177,79,2358,261,428,211,36,39,121,74,26,33,100,119,108,86,6,10,102,86
8600000US64151,64151,ZCTA5 64151,24902,766,20467,740,2233,526,176,134,690,172,337,81,498,246,501,163,10,13,491,165
8600000US64152,64152,ZCTA5 64152,27169,818,24558,844,996,298,37,36,717,199,0,20,124,96,737,290,48,66,689,276
8600000US64153,64153,ZCTA5 64153,5233,390,4389,465,274,185,13,20,246,148,0,15,168,145,143,71,0,15,143,71
8600000US64154,64154,ZCTA5 64154,9769,587,7767,462,1195,407,5,10,355,205,7,12,189,185,251,169,14,23,237,170
8600000US64155,64155,ZCTA5 64155,22713,651,19263,729,1632,339,75,57,519,248,16,28,204,204,1004,359,123,148,881,331
8600000US64156,64156,ZCTA5 64156,5943,498,4790,465,553,302,42,49,19,31,0,15,98,92,441,199,121,112,320,169
8600000US64157,64157,ZCTA5 64157,17857,651,15962,727,585,218,21,32,280,145,0,17,172,153,837,312,158,143,679,313
8600000US64158,64158,ZCTA5 64158,5167,472,3896,525,610,407,0,15,143,165,0,15,140,127,378,237,70,92,308,215
8600000US64161,64161,ZCTA5 64161,326,83,323,83,0,11,0,11,2,5,0,11,0,11,1,3,0,11,1,3
8600000US64163,64163,ZCTA5 64163,655,117,478,107,70,52,0,11,26,39,0,11,10,19,71,55,36,49,35,29
8600000US64164,64164,ZCTA5 64164,348,213,348,213,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64165,64165,ZCTA5 64165,83,76,83,76,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64166,64166,ZCTA5 64166,321,134,321,134,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64167,64167,ZCTA5 64167,269,101,269,101,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64192,64192,ZCTA5 64192,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64401,64401,ZCTA5 64401,1546,216,1489,199,0,11,0,11,2,4,0,11,0,11,55,82,0,11,55,82
